"","Intercept","BPRP","BPRP^2","BPRP^3","A0","A0^2","BPRP*A0"
"kRP",0.610363239879865,-0.0169555973827686,-0.00263686879791759,-0.00172630596514377,-0.00775305340571328,5.20736869080345e-05,0.00057688053542651
"kBP",1.15166243274333,-0.0871094307015222,-0.0333027190567214,0.0173408710621172,-0.0230116001747465,0.000585747896473959,0.00433343379786627
"kG",0.976071363540422,-0.170385809502002,0.00862449042010349,0.00114366744111099,-0.0438151307585465,0.00133011477325265,0.00992767748770215
